player_id,player_name,age,nationality,club,league,position,preferred_foot,minutes,goals_per90,assists_per90,xg_per90,xa_per90,shots_per90,key_passes_per90,progressive_passes_per90,progressive_carries_per90,successful_dribbles_per90,pass_completion_pct,touches_attacking_third_per90,pressures_per90,tackles_per90,interceptions_per90,aerial_win_pct,defensive_duels_won_pct,carries_into_box_per90,passes_into_box_per90,final_third_entries_per90,style_label
112,Destiny Udogie,23,Italy,Tottenham Hotspur,LB,Left,undefined,1978,0.04,0.06,0.06,0.06,0.04,0.05,0.02,0.05,0.05,35,0.02,0.02,0.06,0,51.5,55.4,0.02,0,0.05,undefined
113,Pedro Porro,26,Spain,Tottenham Hotspur,Premier League,RB,Right,2178,0,0.18,0.01,0.15,0.57,1.14,4.28,3.73,0.98,83.6,28.63,21.01,2.32,1.34,46.4,54.5,0.59,1.57,5.29,Progressive fullback
114,Jeremie Frimpong,25,Netherlands,Liverpool,Premier League,RB,Right,1908,0,0.12,0.11,0.25,0.49,1.23,3.61,2.97,0.78,78.4,23.13,17.85,1.85,0.97,47.1,60.2,0.38,1.12,4.22,Progressive fullback
115,Denzel Dumfries,29,Netherlands,Inter,Serie A,RB,Right,1685,0,0.2,0.05,0.19,0.52,1.33,4.86,4.84,1.27,82.5,26.87,17.75,2.53,1.26,52.9,55.3,0.41,1.15,6.88,Progressive fullback
116,Diogo Dalot,27,Portugal,Manchester United,Premier League,RB,Right,2296,0.08,0.17,0.11,0.25,0.75,1.11,4.55,4.47,1.18,79,33.09,21.26,2.3,1.01,44.3,55.4,0.55,1.08,6.35,Progressive fullback
117,Pervis Estupinan,28,Ecuador,Brighton,Premier League,LB,Left,2314,0.03,0.15,0.05,0.18,0.6,1.11,5.61,4.23,1.14,86.1,21.75,22.72,2.2,1.53,46,58.2,0.4,1.58,5.37,Progressive fullback
118,Tyrick Mitchell,26,England,Crystal Palace,Premier League,LB,Left,2123,0,0.1,0,0.1,0.48,1.01,4.2,3.45,0.92,82.7,35.13,16.06,1.84,1.28,44.2,52,0.52,1.26,4.37,Progressive fullback
119,Milos Kerkez,22,Hungary,Liverpool,Premier League,LB,Left,2758,0.01,0.21,0.03,0.16,0.56,1.12,5.77,4.96,1.33,86.1,21.53,16.79,2.64,1.53,50,60.8,0.69,1.64,6.29,Progressive fullback
120,Rayan Ait-Nouri,24,Algeria,Manchester City,Premier League,LB,Left,2141,0.04,0.17,0.02,0.15,0.61,1.44,4.76,5.08,1.36,78.3,24.08,23.44,2.32,0.96,45.7,54.5,0.62,1.78,6.44,Progressive fullback
121,Virgil van Dijk,34,Netherlands,Liverpool,Premier League,CB,Right,1733,0.08,0.09,0.12,0.1,0.63,0.4,3.45,0.98,0.2,90.9,7.45,10.46,1.79,1.88,70.9,66.3,0.02,0.15,1.38,Defensive ball-winner
122,William Saliba,24,France,Arsenal,Premier League,CB,Right,2783,0.05,0,0.06,0.04,0.56,0.26,5.15,0.87,0.16,87,7.58,12,1.36,1.51,68.5,68.7,0.07,0.15,1.22,Defensive ball-winner
123,Gabriel Magalhaes,28,Brazil,Arsenal,Premier League,CB,Left,2584,0.05,0.08,0.08,0.06,0.57,0.39,3.23,0.89,0.17,85.3,5.37,9.63,1.77,1.35,61.3,67,0.02,0.13,1.24,Defensive ball-winner
124,Ruben Dias,28,Portugal,Manchester City,Premier League,CB,Right,2425,0.11,0,0,0,0.68,0.36,4.13,1.04,0.21,87.5,5.92,15.38,1.11,1.56,64.6,69.6,0.06,0.08,1.45,Defensive ball-winner
125,Josko Gvardiol,24,Croatia,Manchester City,Premier League,CB,Left,2545,0.05,0.07,0.09,0.07,0.57,0.28,3.38,0.75,0.13,84.1,6.74,12.88,1.69,1.23,68,64.3,0.02,0.19,1.06,Defensive ball-winner
126,John Stones,31,England,Manchester City,Premier League,CB,Right,2284,0.11,0.05,0.02,0,0.69,0.27,4.11,0.84,0.15,91.9,6.73,14.24,1.61,1.98,63.1,66.6,0.04,0.17,1.17,Defensive ball-winner
127,Ibrahima Konate,26,France,Liverpool,Premier League,CB,Right,2828,0,0.05,0,0,0.43,0.44,5.27,1.15,0.24,93.6,4.75,16.24,1.59,2.14,61.2,62.5,0,0.22,1.61,Defensive ball-winner
128,Dayot Upamecano,27,France,Bayern Munich,Bundesliga,CB,Right,2154,0.1,0,0,0,0.67,0.32,4.77,1.08,0.22,84.9,7.62,15.98,1.24,1.31,68.9,65.4,0.06,0.18,1.51,Defensive ball-winner
129,Kim Min-jae,29,South Korea,Bayern Munich,Bundesliga,CB,Right,1656,0.11,0.07,0,0,0.68,0.36,3.37,0.9,0.17,91.2,7.61,14.56,1.69,1.91,63.4,68.6,0.09,0.07,1.26,Defensive ball-winner
130,Antonio Rudiger,33,Germany,Real Madrid,La Liga,CB,Right,2374,0.1,0.01,0.09,0.07,0.66,0.25,4.78,1.18,0.25,87.2,5.08,12.46,1.41,1.52,66.4,62,0,0.13,1.66,Defensive ball-winner
131,Eder Militao,28,Brazil,Real Madrid,La Liga,CB,Right,2507,0.05,0.04,0.05,0.03,0.57,0.4,4.25,0.84,0.16,89.7,5.58,15.11,1.56,1.77,62.9,68.6,0.07,0.08,1.18,Defensive ball-winner
132,Pau Cubarsi,19,Spain,Barcelona,La Liga,CB,Right,2717,0.03,0,0,0,0.54,0.26,3.18,0.81,0.15,88.7,6.33,13.87,1.14,1.68,67.7,67.8,0,0.11,1.13,Defensive ball-winner
133,Jules Kounde,27,France,Barcelona,La Liga,CB,Right,2317,0.11,0.08,0,0,0.68,0.29,3.59,1.04,0.21,91.1,5.95,10.08,1.75,1.9,62.4,62.7,0,0.09,1.46,Defensive ball-winner
134,Ronald Araujo,27,Uruguay,Barcelona,La Liga,CB,Right,1949,0.05,0.02,0.01,0,0.57,0.36,4.31,1.03,0.21,91.9,5.98,14.85,1.47,1.98,67.2,68.7,0.08,0.19,1.44,Defensive ball-winner
135,Alessandro Bastoni,27,Italy,Inter,Serie A,CB,Left,2349,0.08,0.08,0.07,0.05,0.63,0.3,4.17,0.82,0.15,88.7,6.65,12.72,1.76,1.67,67,67.5,0,0.15,1.15,Defensive ball-winner
136,Benjamin Pavard,30,France,Inter,Serie A,CB,Right,1789,0.1,0.08,0.12,0.1,0.66,0.39,4.67,0.77,0.13,90.5,5.93,13.22,1.74,1.84,70.6,65,0,0.2,1.08,Defensive ball-winner
137,Gleison Bremer,29,Brazil,Juventus,Serie A,CB,Right,2618,0.11,0.02,0.06,0.04,0.68,0.4,4.79,0.76,0.13,87.9,5.68,13.24,1.45,1.6,63.2,70.3,0,0.21,1.06,Defensive ball-winner
138,Fikayo Tomori,28,England,AC Milan,Serie A,CB,Right,2171,0.06,0.1,0.04,0.02,0.59,0.38,3.95,1.06,0.22,93.7,7.16,13.6,1.88,2.14,63.6,65,0.07,0.16,1.48,Defensive ball-winner
139,Micky van de Ven,25,Netherlands,Tottenham Hotspur,Premier League,CB,Left,1872,0.03,0.09,0.02,0,0.53,0.36,3.6,1.21,0.26,88.1,4.94,12.66,1.8,1.62,70.9,62.4,0,0.2,1.7,Defensive ball-winner
140,Cristian Romero,28,Argentina,Tottenham Hotspur,Premier League,CB,Right,2021,0.09,0.07,0,0,0.65,0.27,3.63,0.86,0.16,93.4,6.07,12.21,1.71,2.12,68.1,69.3,0,0.22,1.2,Defensive ball-winner
141,Lionel Messi,38,Argentina,Inter Miami,MLS,AM,Left,1759,0.27,0.35,0.28,0.39,2.18,3.05,6.43,4.54,2.09,80.7,38.01,16,1.39,0.53,47.8,53,0.81,1.46,7.21,Advanced creator
142,Luis Suarez,39,Uruguay,Inter Miami,MLS,ST,Right,1628,0.6,0.12,0.57,0.11,3.08,1.07,2.45,1.44,0.87,77.5,21.51,10.53,0.64,0.36,52.7,52.7,1.15,0.96,1.44,Transition striker
143,Sergio Busquets,37,Spain,Inter Miami,MLS,DM,Right,2199,0,0.05,0.12,0.18,0.67,0.95,8.3,1.48,0.48,90.3,17.13,28.17,2.33,1.83,50.3,57.8,0.23,0.88,3.56,Deep-lying distributor
144,Sadio Mane,34,Senegal,Al Nassr,Saudi Pro League,LW,Right,2709,0.37,0.3,0.32,0.25,2.69,1.42,3.33,6.39,2.92,77.6,34.71,18.8,1.23,0.39,48.3,52,1.49,1.3,5.61,Direct ball-carrying winger
145,Cristiano Ronaldo,41,Portugal,Al Nassr,Saudi Pro League,ST,Right,2260,0.6,0.1,0.56,0.1,3.11,1.21,2.48,1.72,1.03,75.4,18.75,16.46,0.6,0.32,43,58.9,1.12,0.59,1.72,Transition striker
146,Karim Benzema,38,France,Al Ittihad,Saudi Pro League,ST,Right,2325,0.68,0.15,0.54,0.09,3.49,0.93,2.46,1.61,0.97,74.2,24.74,16.94,0.72,0.3,47.7,58.2,1.21,1.02,1.61,Transition striker
147,Neymar,34,Brazil,Santos,Brasileirao,LW,Right,2733,0.35,0.23,0.25,0.19,2.6,1.42,2.74,6.97,3.18,78,44.93,13.96,1.01,0.4,44.1,56.2,1.57,1,6.12,Direct ball-carrying winger
148,Angel Di Maria,38,Argentina,Benfica,Liga Portugal,RW,Left,2841,0.35,0.23,0.33,0.3,2.65,1.78,3.32,5.81,2.57,77,31,16.33,0.92,0.39,48.4,55.3,1.54,1.18,5.7,Direct ball-carrying winger
149,Son Heung-min,33,South Korea,Los Angeles FC,MLS,LW,Right,2710,0.41,0.21,0.29,0.22,3.05,1.63,2.3,5.07,2.31,80.7,28.39,12.85,0.93,0.47,50,60.9,1.5,1.51,4.45,Direct ball-carrying winger
150,Hirving Lozano,30,Mexico,San Diego FC,MLS,RW,Right,1658,0.26,0.27,0.32,0.29,1.95,1.61,3.97,4.3,1.9,77.5,34,20.99,1.07,0.4,43.8,57.1,1.96,1.16,4.21,Advanced creator
